geneName	nWhenDifMore	p.value	p.adj
IGHV1-18	8162	0.8162	1
IGHV1-2	1655	0.1655	0.6946692307692307
IGHV1-24	10000	1	1
IGHV1-3	0	0	0
IGHV1-46	1219	0.1219	0.6946692307692307
IGHV1-58	10000	1	1
IGHV1-69	41	0.0041	0.050225000000000006
IGHV1-69-2	10000	1	1
IGHV1-8	3796	0.3796	1
IGHV2-26	10000	1	1
IGHV2-5	98	0.0098	0.08003333333333333
IGHV2-70	10000	1	1
IGHV3-11	1761	0.1761	0.6946692307692307
IGHV3-13	8030	0.803	1
IGHV3-15	5136	0.5136	1
IGHV3-20	10000	1	1
IGHV3-21	2742	0.2742	0.89572
IGHV3-23	6897	0.6897	1
IGHV3-30	10000	1	1
IGHV3-30-3	10000	1	1
IGHV3-30-5	5523	0.5523	1
IGHV3-33	1843	0.1843	0.6946692307692307
IGHV3-43	10000	1	1
IGHV3-43D	10000	1	1
IGHV3-48	1449	0.1449	0.6946692307692307
IGHV3-49	10000	1	1
IGHV3-53	23	0.0023	0.037566666666666665
IGHV3-64	10000	1	1
IGHV3-64D	10000	1	1
IGHV3-66	10000	1	1
IGHV3-7	8685	0.8685	1
IGHV3-72	10000	1	1
IGHV3-73	10000	1	1
IGHV3-74	10000	1	1
IGHV3-9	8125	0.8125	1
IGHV4-28	3308	0.3308	0.9534823529411764
IGHV4-30-2	7	7e-4	0.01715
IGHV4-30-4	10000	1	1
IGHV4-31	10000	1	1
IGHV4-34	2060	0.206	0.721
IGHV4-38-2	10000	1	1
IGHV4-39	69	0.0069	0.06762
IGHV4-4	5235	0.5235	1
IGHV4-59	3056	0.3056	0.9359
IGHV4-61	10000	1	1
IGHV5-10-1	1614	0.1614	0.6946692307692307
IGHV5-51	328	0.0328	0.22960000000000003
IGHV6-1	10000	1	1
IGHV7-4-1	10000	1	1
